# Dimensionless graviational wave background energy density Omega_GW(f) 
#    1:f [Hz]                 2:Omega_GW(f)        
       1.000000000000e-04       1.553632065496e-22 
       1.023292992281e-04       1.654286379623e-22 
       1.047128548051e-04       1.761422724155e-22 
       1.071519305238e-04       1.875460390245e-22 
       1.096478196143e-04       1.996842310435e-22 
       1.122018454302e-04       2.126038110467e-22 
       1.148153621497e-04       2.263547376135e-22 
       1.174897554940e-04       2.409901799957e-22 
       1.202264434617e-04       2.565667718059e-22 
       1.230268770812e-04       2.731449197436e-22 
       1.258925411794e-04       2.907882231897e-22 
       1.288249551693e-04       3.095652277165e-22 
       1.318256738556e-04       3.295481627257e-22 
       1.348962882592e-04       3.508134432389e-22 
       1.380384264603e-04       3.734440450936e-22 
       1.412537544623e-04       3.975263849042e-22 
       1.445439770746e-04       4.231529635904e-22 
       1.479108388168e-04       4.504227434571e-22 
       1.513561248436e-04       4.794405147992e-22 
       1.548816618912e-04       5.103172505149e-22 
       1.584893192461e-04       5.431722237487e-22 
       1.621810097359e-04       5.781304373015e-22 
       1.659586907438e-04       6.153259368568e-22 
       1.698243652462e-04       6.549018639001e-22 
       1.737800828749e-04       6.970090021900e-22 
       1.778279410039e-04       7.418092127703e-22 
       1.819700858610e-04       7.894723945062e-22 
       1.862087136663e-04       8.401818363010e-22 
       1.905460717963e-04       8.941300297403e-22 
       1.949844599758e-04       9.515235148511e-22 
       1.995262314969e-04       1.012580196985e-21 
       2.041737944670e-04       1.077531762278e-21 
       2.089296130854e-04       1.146622296325e-21 
       2.137962089502e-04       1.220113579895e-21 
       2.187761623950e-04       1.298282933709e-21 
       2.238721138568e-04       1.381428100140e-21 
       2.290867652768e-04       1.469862936141e-21 
       2.344228815320e-04       1.563920315659e-21 
       2.398832919019e-04       1.663957752142e-21 
       2.454708915685e-04       1.770350357811e-21 
       2.511886431510e-04       1.883503856442e-21 
       2.570395782769e-04       2.003837257461e-21 
       2.630267991895e-04       2.131808833852e-21 
       2.691534803927e-04       2.267898920898e-21 
       2.754228703338e-04       2.412618530324e-21 
       2.818382931264e-04       2.566509270598e-21 
       2.884031503127e-04       2.730155848743e-21 
       2.951209226666e-04       2.904161919555e-21 
       3.019951720402e-04       3.089187607344e-21 
       3.090295432514e-04       3.285918897367e-21 
       3.162277660168e-04       3.495098591287e-21 
       3.235936569296e-04       3.717496546980e-21 
       3.311311214826e-04       3.953946442036e-21 
       3.388441561392e-04       4.205324742016e-21 
       3.467368504525e-04       4.472559540346e-21 
       3.548133892336e-04       4.756659319944e-21 
       3.630780547701e-04       5.058668110926e-21 
       3.715352290972e-04       5.379710515293e-21 
       3.801893963206e-04       5.720978152293e-21 
       3.890451449943e-04       6.083725824425e-21 
       3.981071705535e-04       6.469311808813e-21 
       4.073802778041e-04       6.879154322272e-21 
       4.168693834703e-04       7.314766995028e-21 
       4.265795188016e-04       7.777758602282e-21 
