# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 15, i.e. number of multipoles equal to 14
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for the CGWB, the spectrum is calculated at 1 frequencie(s): f_gwb [Hz] = 0.003, 
#
# 1:l     2:TT                     3:G[1]-G[1]              4:T-G[1]             
    2       1.392855800109e-10       9.298870355879e-10      -1.995932488962e-10 
    3       1.317190105117e-10       8.492079012277e-10      -2.209819089775e-10 
    4       1.245229490702e-10       8.105244231927e-10      -2.307560767694e-10 
    5       1.190877370617e-10       7.881827129938e-10      -2.358642020428e-10 
    6       1.152689621430e-10       7.735340237869e-10      -2.388522600811e-10 
    7       1.127503251669e-10       7.631702730329e-10      -2.407670624771e-10 
    8       1.111710039037e-10       7.554744769290e-10      -2.420398499591e-10 
    9       1.103077095548e-10       7.495185974219e-10      -2.429153775585e-10 
   10       1.099467280307e-10       7.448240249390e-10      -2.435291268695e-10 
   11       1.099636819019e-10       7.411356733056e-10      -2.438851259832e-10 
   12       1.103441632235e-10       7.381954661134e-10      -2.441117266284e-10 
   13       1.109575903582e-10       7.357703825025e-10      -2.441201140670e-10 
   14       1.116788149196e-10       7.338767752150e-10      -2.440046048218e-10 
   15       1.125263575566e-10       7.324250330313e-10      -2.437767722991e-10 
